benchmark;elements;avg time;flops;gflops
dgemm_c;128;0.000278;4194304.000000;15.071052
dgemm_c;256;0.000089;33554432.000000;375.283041
dgemm_c;384;0.000279;113246208.000000;405.919301
dgemm_c;512;0.000747;268435456.000000;359.296995
dgemm_c;640;0.001373;524288000.000000;381.728455
dgemm_c;768;0.002401;905969664.000000;377.278128
dgemm_c;896;0.003217;1438646272.000000;447.186747
dgemm_c;1024;0.004808;2147483648.000000;446.658232
dgemm_c;1152;0.007979;3057647616.000000;383.195074
dgemm_c;1280;0.010925;4194304000.000000;383.917283
dgemm_c;1408;0.020907;5582618624.000000;267.023549
dgemm_c;1536;0.018295;7247757312.000000;396.166183
dgemm_c;1664;0.023249;9214885888.000000;396.348043
dgemm_c;1792;0.023347;11509170176.000000;492.967539
dgemm_c;1920;0.025022;14155776000.000000;565.728673
dgemm_c;2048;0.043805;17179869184.000000;392.193804
dgemm_c;2176;0.050621;20606615552.000000;407.079639
dgemm_c;2304;0.045079;24461180928.000000;542.632794
dgemm_c;2432;0.073868;28768731136.000000;389.461563
dgemm_c;2560;0.062506;33554432000.000000;536.816028
dgemm_c;2688;0.097564;38843449344.000000;398.132850
dgemm_c;2816;0.100458;44660948992.000000;444.572813
dgemm_c;2944;0.130162;51032096768.000000;392.065353
dgemm_c;3072;0.118032;57982058496.000000;491.241783
dgemm_c;3200;0.123014;65536000000.000000;532.750248
dgemm_c;3328;0.145354;73719087104.000000;507.168118
dgemm_c;3456;0.172846;82556485632.000000;477.630404
dgemm_c;3584;0.213425;92073361408.000000;431.407844
dgemm_c;3712;0.231050;102294880256.000000;442.739915
dgemm_c;3840;0.264105;113246208000.000000;428.792074
dgemm_c;3968;0.238222;124952510464.000000;524.521135
dgemm_c;4096;0.276733;137438953472.000000;496.647795
dgemm_c;4224;0.261050;150730702848.000000;577.401680
dgemm_c;4352;0.303258;164852924416.000000;543.605557
dgemm_c;4480;0.349119;179830784000.000000;515.099511
dgemm_c;4608;0.391103;195689447424.000000;500.352100
dgemm_c;4736;0.425319;212454080512.000000;499.516976
dgemm_c;4864;0.485157;230149849088.000000;474.382384
dgemm_c;4992;0.527209;248801918976.000000;471.922665
dgemm_c;5120;0.543106;268435456000.000000;494.259405
dgemm_c;5248;0.617355;289075625984.000000;468.248581
dgemm_c;5376;0.709690;310747594752.000000;437.863830
dgemm_c;5504;0.758446;333476528128.000000;439.683943
dgemm_c;5632;0.832309;357287591936.000000;429.272927
dgemm_c;5760;0.850075;382205952000.000000;449.614511
dgemm_c;5888;0.872061;408256774144.000000;468.151834
dgemm_c;6016;0.951628;435465224192.000000;457.600466
dgemm_c;6144;0.695125;463856467968.000000;667.299389
dgemm_c;6272;0.605371;493455671296.000000;815.129245
dgemm_c;6400;0.701898;524288000000.000000;746.957929
dgemm_c;6528;0.814504;556378619904.000000;683.088639
dgemm_c;6656;0.929396;589752696832.000000;634.554866
dgemm_c;6784;0.824875;624435396608.000000;757.006042
dgemm_c;6912;1.233749;660451885056.000000;535.321284
dgemm_c;7040;0.893011;697827328000.000000;781.432249
dgemm_c;7168;1.478736;736586891264.000000;498.119303
dgemm_c;7296;1.682739;776755740672.000000;461.602075
dgemm_c;7424;1.922245;818359042048.000000;425.730802
dgemm_c;7552;2.024839;861421961216.000000;425.427465
dgemm_c;7680;2.113066;905969664000.000000;428.746542
dgemm_c;7808;2.223702;952027316224.000000;428.127227
dgemm_c;7936;2.354357;999620083712.000000;424.582970
dgemm_c;8064;2.442090;1048773132288.000000;429.457171
dgemm_c;8192;2.727011;1099511627776.000000;403.193031
