benchmark;elements;avg time;avg time kernel;flops;gflops;gflops kernel
emm;128;0.0111876320839;0.00281173491478;4194304;0.374905428472;1.49171388026
emm;256;0.0143191411495;0.00278763914108;33554432;2.34332713461;12.0368635615
emm;384;0.0262581150532;0.00304457783699;113246208;4.31280797463;37.1960298154
emm;512;0.0408477220535;0.00326388406754;268435456;6.5716138503;82.2441760938
emm;640;0.0445466759205;0.00545741915703;524288000;11.7694079113;96.068853228
emm;768;0.0479745359421;0.00750710320473;905969664;18.8843861897;120.68165833
emm;896;0.0505236299038;0.00604885005951;1438646272;28.4747211303;237.837978764
emm;1024;0.0577348899841;0.0109692001343;2147483648;37.1955960874;195.773950854
emm;1152;0.0667850017548;0.0306832480431;3057647616;45.7834474158;99.6520189684
emm;1280;0.112338869572;0.0306941103935;4194304000;37.3361777272;136.648495305
emm;1408;0.142739369869;0.0307010293007;5582618624;39.1105735517;181.838158236
emm;1536;0.146778440475;0.0308803296089;7247757312;49.3788957596;234.704661634
emm;1664;0.151779470444;0.030881998539;9214885888;60.7123338951;298.390205426
emm;1792;0.16270938158;0.0308748698235;11509170176;70.7345210474;372.768217058
emm;1920;0.285355641842;0.0495632004738;14155776000;49.607485973;285.610611597
emm;2048;0.208755810261;0.0511692500114;17179869184;82.296483928;335.74596423
emm;2176;0.221589369774;0.0612042999268;20606615552;92.9946033649;336.685748823
emm;2304;0.266892368793;0.091323261261;24461180928;91.6518559095;267.852687149
emm;2432;0.272179260254;0.0943306183815;28768731136;105.697734314;304.977658682
emm;2560;0.276532440186;0.0913112807274;33554432000;121.339948317;367.473019026
emm;2688;0.364885280132;0.151765861511;38843449344;106.45386772;255.943259948
emm;2816;0.436890609264;0.151951839924;44660948992;102.224557006;293.915157687
emm;2944;0.43361066103;0.171618068218;51032096768;117.691056412;297.358531638
emm;3072;0.478812391758;0.210171051025;57982058496;121.095567897;275.880328014
emm;3200;0.490304529667;0.211972110271;65536000000;133.663868136;309.172748793
emm;3328;0.546500520706;0.251919598579;73719087104;134.892986028;292.629424307
emm;3456;0.637259168625;0.266789660454;82556485632;129.549310071;309.44409724
emm;3584;0.654524638653;0.292258980274;92073361408;140.672109147;315.040315687
emm;3712;0.813393518925;0.312764298916;102294880256;125.763087455;327.06699777
emm;3840;1.20230504036;0.376211299896;113246208000;94.190911789;301.017561225
emm;3968;0.883213250637;0.39325881958;124952510464;141.4749047;317.736066536
emm;4096;1.07904628038;0.574261357784;137438953472;127.37076803;239.331711265
