benchmark;elements;avg time;flops;gflops
emm_numpy;128;0.000234344959259;2097152;8.94899556035
emm_numpy;256;0.000662175893784;16777216;25.3364946648
emm_numpy;384;0.00167022418976;56623104;33.9014991803
emm_numpy;512;0.00220443201065;134217728;60.8854014783
emm_numpy;640;0.00466858410835;262144000;56.1506430892
emm_numpy;768;0.00776242113113;452984832;58.3561268253
emm_numpy;896;0.0106887431145;719323136;67.2972610808
emm_numpy;1024;0.0153884410858;1073741824;69.7758673547
emm_numpy;1152;0.0185818195343;1528823808;82.2752478668
emm_numpy;1280;0.0246912693977;2097152000;84.9349608648
emm_numpy;1408;0.0353672194481;2791309312;78.923629156
emm_numpy;1536;0.0363906693459;3623878656;99.5826326127
emm_numpy;1664;0.0428768014908;4607442944;107.457711019
emm_numpy;1792;0.0556304216385;5754585088;103.443132705
emm_numpy;1920;0.0625369715691;7077888000;113.179257364
emm_numpy;2048;0.0960832619667;8589934592;89.4009468057
emm_numpy;2176;0.118493509293;10303307776;86.9525076733
emm_numpy;2304;0.146206839085;12230590464;83.6526563366
emm_numpy;2432;0.175415990353;14384365568;82.0014500336
emm_numpy;2560;0.19608027935;16777216000;85.5629951956
emm_numpy;2688;0.216564559937;19421724672;89.6809924841
emm_numpy;2816;0.242532820702;22330474496;92.0719696056
emm_numpy;2944;0.271080060005;25516048384;94.1273525744
emm_numpy;3072;0.299519159794;28991029248;96.7919022875
emm_numpy;3200;0.326749999523;32768000000;100.284621416
emm_numpy;3328;0.366803519726;36859543552;100.488521974
emm_numpy;3456;0.367500638962;41278242816;112.321553869
emm_numpy;3584;0.355917348862;46036680704;129.346548718
emm_numpy;3712;0.464651968479;51147440128;110.076882479
emm_numpy;3840;0.488329110146;56623104000;115.952751584
emm_numpy;3968;0.518201079369;62476255232;120.563730412
emm_numpy;4096;0.610224502087;68719476736;112.613434074
