benchmark;elements;avg time;flops;gflops
dgemm_c;128;0.000047;4194304.000000;90.122561
dgemm_c;256;0.000052;33554432.000000;646.334046
dgemm_c;384;0.000155;113246208.000000;729.933147
dgemm_c;512;0.000381;268435456.000000;703.725678
dgemm_c;640;0.000658;524288000.000000;796.530009
dgemm_c;768;0.001094;905969664.000000;828.389345
dgemm_c;896;0.001859;1438646272.000000;773.771918
dgemm_c;1024;0.002803;2147483648.000000;766.123918
dgemm_c;1152;0.003800;3057647616.000000;804.540366
dgemm_c;1280;0.004964;4194304000.000000;844.940995
dgemm_c;1408;0.007536;5582618624.000000;740.756972
dgemm_c;1536;0.008153;7247757312.000000;889.021579
dgemm_c;1664;0.010699;9214885888.000000;861.307323
dgemm_c;1792;0.013088;11509170176.000000;879.392998
dgemm_c;1920;0.016045;14155776000.000000;882.266206
dgemm_c;2048;0.020119;17179869184.000000;853.933052
dgemm_c;2176;0.023914;20606615552.000000;861.688080
dgemm_c;2304;0.027893;24461180928.000000;876.973981
dgemm_c;2432;0.032810;28768731136.000000;876.816912
dgemm_c;2560;0.038851;33554432000.000000;863.662154
dgemm_c;2688;0.043769;38843449344.000000;887.464655
dgemm_c;2816;0.051730;44660948992.000000;863.342829
dgemm_c;2944;0.060316;51032096768.000000;846.078369
dgemm_c;3072;0.068219;57982058496.000000;849.941021
dgemm_c;3200;0.078173;65536000000.000000;838.346686
dgemm_c;3328;0.089297;73719087104.000000;825.552477
dgemm_c;3456;0.098956;82556485632.000000;834.271818
dgemm_c;3584;0.111653;92073361408.000000;824.639894
dgemm_c;3712;0.124448;102294880256.000000;821.987624
dgemm_c;3840;0.134714;113246208000.000000;840.640592
dgemm_c;3968;0.149322;124952510464.000000;836.800637
dgemm_c;4096;0.196139;137438953472.000000;700.722781
dgemm_c;4224;0.177824;150730702848.000000;847.640628
dgemm_c;4352;0.197395;164852924416.000000;835.144340
dgemm_c;4480;0.215869;179830784000.000000;833.053345
dgemm_c;4608;0.237755;195689447424.000000;823.072368
dgemm_c;4736;0.269260;212454080512.000000;789.030369
dgemm_c;4864;0.300889;230149849088.000000;764.900528
dgemm_c;4992;0.314397;248801918976.000000;791.361072
dgemm_c;5120;0.350461;268435456000.000000;765.949231
dgemm_c;5248;0.371379;289075625984.000000;778.384835
dgemm_c;5376;0.391684;310747594752.000000;793.362173
dgemm_c;5504;0.415800;333476528128.000000;802.011679
dgemm_c;5632;0.458902;357287591936.000000;778.570333
dgemm_c;5760;0.471515;382205952000.000000;810.590877
dgemm_c;5888;0.511147;408256774144.000000;798.707905
dgemm_c;6016;0.544579;435465224192.000000;799.636285
dgemm_c;6144;0.585082;463856467968.000000;792.806209
dgemm_c;6272;0.603539;493455671296.000000;817.603525
dgemm_c;6400;0.656473;524288000000.000000;798.643746
dgemm_c;6528;0.672497;556378619904.000000;827.332346
dgemm_c;6656;0.730450;589752696832.000000;807.382473
dgemm_c;6784;0.762131;624435396608.000000;819.328524
dgemm_c;6912;0.799211;660451885056.000000;826.379770
dgemm_c;7040;0.833809;697827328000.000000;836.915022
dgemm_c;7168;0.903162;736586891264.000000;815.564755
dgemm_c;7296;0.921567;776755740672.000000;842.863817
dgemm_c;7424;0.984267;818359042048.000000;831.439988
dgemm_c;7552;1.032843;861421961216.000000;834.029691
dgemm_c;7680;1.090260;905969664000.000000;830.966899
dgemm_c;7808;1.123172;952027316224.000000;847.624054
dgemm_c;7936;1.200591;999620083712.000000;832.606754
dgemm_c;8064;1.223006;1048773132288.000000;857.537158
dgemm_c;8192;1.660551;1099511627776.000000;662.136501
