benchmark;elements;avg time;avg time kernel;flops;gflops;gflops kernel
emm;128;0.0109911260605;0.00288147902489;4194304;0.381608215293;1.4556080276
emm;256;0.0159044981003;0.00317495894432;33554432;2.10974478971;10.5684616993
emm;384;0.0345935051441;0.0030436398983;113246208;3.2736262928;37.2074922737
emm;512;0.0387181260586;0.00321718287468;268435456;6.93306942577;83.4380470295
emm;640;0.0404119980335;0.00546561312675;524288000;12.9735728376;95.9248281649
emm;768;0.0435854711533;0.0101338169575;905969664;20.7860472774;89.400634312
emm;896;0.0466772010326;0.00611005187035;1438646272;30.8211769381;235.45565611
emm;1024;0.0603219604492;0.0278411006927;2147483648;35.6003623226;77.1335757052
emm;1152;0.0879192900658;0.0278591513634;3057647616;34.7778924706;109.753796019
emm;1280;0.121115632057;0.0281318378448;4194304000;34.6305751682;149.094560517
emm;1408;0.131676821709;0.0280987787247;5582618624;42.3963652187;198.678336831
emm;1536;0.14247205019;0.0280246686935;7247757312;50.8714326939;258.620624253
emm;1664;0.144842128754;0.0281133413315;9214885888;63.6202047518;327.776260365
emm;1792;0.163637812138;0.0333330321312;11509170176;70.3331951562;345.278225236
emm;1920;0.282018530369;0.0491259384155;14155776000;50.1944889277;288.152785607
emm;2048;0.205255072117;0.0483630299568;17179869184;83.7000957239;355.227313081
emm;2176;0.214581308365;0.0682020616531;20606615552;96.031735984;302.140654586
emm;2304;0.267100410461;0.0885024690628;24461180928;91.580469254;276.389813607
emm;2432;0.262115581036;0.104386229515;28768731136;109.755898609;275.5989106
emm;2560;0.265726249218;0.088469851017;33554432000;126.274435058;379.275330684
emm;2688;0.377477910519;0.148951659203;38843449344;102.902575917;260.77889667
emm;2816;0.425222270489;0.157972221375;44660948992;105.029656468;282.713939219
emm;2944;0.41751445055;0.168791091442;51032096768;122.22833653;302.338804329
emm;3072;0.470546419621;0.208915698528;57982058496;123.222823675;277.538063939
emm;3200;0.486202058792;0.209122109413;65536000000;134.791695788;313.386280312
emm;3328;0.562571899891;0.249127790928;73719087104;131.039405129;295.908725516
emm;3456;0.610893681049;0.269568810463;82556485632;135.140513305;306.253848471
emm;3584;0.65741808176;0.289630610943;92073361408;140.052979926;317.899275592
emm;3712;0.723293390274;0.312789270878;102294880256;141.429303283;327.040885926
emm;3840;1.09743004084;0.373577418327;113246208000;103.192188828;303.139864575
emm;3968;0.852117710114;0.390394799709;124952510464;146.637617058;320.067046377
emm;4096;1.02441326141;0.57089318037;137438953472;134.163582852;240.743729646
emm;4224;1.21288886786;0.489051280022;150730702848;124.27412506;308.210424971
emm;4352;1.29454977036;0.530997171402;164852924416;127.343828867;310.459138569
emm;4480;1.8216189909;0.556859579086;179830784000;98.7203058919;322.937398859
emm;4608;1.56497060061;0.639533231258;195689447424;125.043529475;305.987926599
emm;4736;1.59626919985;0.643862161636;212454080512;133.0941426;329.968265214
emm;4864;1.72025480032;0.671526420116;230149849088;133.788232444;342.726424745
emm;4992;1.82645966053;0.750152168274;248801918976;136.220867262;331.668599384
emm;5120;1.98514847994;0.832488050461;268435456000;135.221853032;322.44962057
emm;5248;2.14119287014;0.931089220047;289075625984;135.006813265;310.470382172
emm;5376;2.29937555075;1.03389795065;310747594752;135.144341537;300.559252059
emm;5504;2.32117730856;0.974041728973;333476528128;143.666977485;342.363697785
emm;5632;2.55840468168;1.07520091057;357287591936;139.652493014;332.298446201
emm;5760;2.93236217976;1.10722433805;382205952000;130.340636173;345.192874528
emm;5888;3.27282670975;1.19871788979;408256774144;124.74133535;340.577860415
emm;6016;3.84790631056;1.26952934027;435465224192;113.169393703;343.013123352
emm;6144;4.51947932005;1.51654194117;463856467968;102.634935381;305.864582691
emm;6272;4.86353096962;1.43666099072;493455671296;101.460374032;343.473982022
emm;6400;5.17272163153;1.49825684071;524288000000;101.356314402;349.931991469
emm;6528;5.99699962854;1.61687501907;556378619904;92.7761638096;344.107375858
emm;6656;6.39499206781;1.77780289888;589752696832;92.2210208517;331.7312044
emm;6784;6.94960592985;1.89839768887;624435396608;89.8519143259;328.927600508
emm;6912;7.1738685298;1.95901405096;660451885056;92.0635612867;337.134838176
emm;7040;7.78870096922;2.24229860067;697827328000;89.5948285546;311.21070485
emm;7168;8.92046846151;2.51923091888;736586891264;82.5726691868;292.385618858
emm;7296;9.34492353916;2.66285355091;776755740672;83.1206095392;291.700510682
emm;7424;10.4192845511;3.16788768053;818359042048;78.5427289207;258.329563601
emm;7552;10.7769974804;3.30276030064;861421961216;79.9315359202;260.818794827
emm;7680;10.1496538591;2.57483335018;905969664000;89.2611390076;351.85565075
emm;7808;10.8737256789;2.62476140022;952027316224;87.5530010905;362.710041432
emm;7936;10.9823838186;2.80675683022;999620083712;91.0203194699;356.147733552
emm;8064;11.6825379992;2.84898298979;1048773132288;89.772713118;368.121935458
emm;8192;12.5152209997;3.99497339725;1099511627776;87.8539522235;275.22376708
