benchmark;elements;data size;avg time;MB/sec
pyout;1;8;1.30040645599e-05;0.615192270319
pyout;2;16;1.29039287567e-05;1.23993245016
pyout;4;32;1.28309726715e-05;2.49396525262
pyout;8;64;2.16100215912e-05;2.96158889661
pyout;16;128;2.15651988983e-05;5.93548896087
pyout;32;256;2.26080417633e-05;11.3234044187
pyout;64;512;2.16178894043e-05;23.6840882301
pyout;128;1024;2.1733045578e-05;47.1171882618
pyout;256;2048;2.26850509644e-05;90.2797178291
pyout;512;4096;2.37939357758e-05;172.144702692
pyout;1024;8192;2.5111913681e-05;326.219662271
pyout;2048;16384;2.75239944458e-05;595.262436645
pyout;4096;32768;3.1614780426e-05;1036.47722864
pyout;8192;65536;4.03418540955e-05;1624.51631115
pyout;16384;131072;5.98001480103e-05;2191.8340399
pyout;32768;262144;0.000114560127258;2288.26561452
pyout;65536;524288;0.00016716003418;3136.44348407
pyout;131072;1048576;0.000375390052795;2793.29724427
pyout;262144;2097152;0.000577712059021;3630.09905584
pyout;524288;4194304;0.000952482223511;4403.55094979
pyout;1048576;8388608;0.00142941474915;5868.56124509
pyout;2097152;16777216;0.00257790088654;6508.09194707
pyout;4194304;33554432;0.00504250526428;6654.31769356
pyout;8388608;67108864;0.0258128881454;2599.82004423
pyout;16777216;134217728;0.0298992872238;4488.99423573
pyout;33554432;268435456;0.0499264001846;5376.62348992
pyout;67108864;536870912;0.110300898552;4867.33035767
pyout;134217728;1073741824;0.19070379734;5630.41658831
pyout;268435456;2147483648;0.371436309814;5781.56629079
