benchmark;elements;data size;avg time;MB/sec
nd_bw;1;8;0.000543569803238;0.0147175210108
nd_bw;2;16;0.000603656053543;0.0265051595293
nd_bw;4;32;0.000548369169235;0.0583548488779
nd_bw;8;64;0.000575536966324;0.111200502739
nd_bw;16;128;0.000568711996078;0.22506998425
nd_bw;32;256;0.00137143015862;0.186666450633
nd_bw;64;512;0.00130104207993;0.39353069966
nd_bw;128;1024;0.00133518910408;0.76693256174
nd_bw;256;2048;0.00131837487221;1.55342766551
nd_bw;512;4096;0.001301227808;3.14779623892
nd_bw;1024;8192;0.00134756588936;6.07910905485
nd_bw;2048;16384;0.00127161312103;12.8844219433
nd_bw;4096;32768;0.0012961101532;25.2818017968
nd_bw;8192;65536;0.00131312084198;49.9085825956
nd_bw;16384;131072;0.00138667821884;94.5222894678
nd_bw;32768;262144;0.00147820949554;177.338868943
nd_bw;65536;524288;0.00163572788239;320.522750542
nd_bw;131072;1048576;0.00257570743561;407.102136486
nd_bw;262144;2097152;0.00368399620056;569.260087641
nd_bw;524288;4194304;0.00889949798584;471.296696361
nd_bw;1048576;8388608;0.0111160993576;754.635932096
nd_bw;2097152;16777216;0.0290704011917;577.12364853
nd_bw;4194304;33554432;0.0487727880478;687.974449341
nd_bw;8388608;67108864;0.094432592392;710.653623925
nd_bw;16777216;134217728;0.120068991184;1117.83839171
nd_bw;33554432;268435456;0.239942119122;1118.75087618
nd_bw;67108864;536870912;0.454799790382;1180.4554957
nd_bw;134217728;1073741824;0.961823170185;1116.36094584
nd_bw;268435456;2147483648;1.67760643005;1280.08787373
